"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Utility gas","Margin of Error!!Total!!Utility gas","Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas","Estimate!!Total!!Electricity","Margin of Error!!Total!!Electricity","Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.","Estimate!!Total!!Coal or coke","Margin of Error!!Total!!Coal or coke","Estimate!!Total!!Wood","Margin of Error!!Total!!Wood","Estimate!!Total!!Solar energy","Margin of Error!!Total!!Solar energy","Estimate!!Total!!Other fuel","Margin of Error!!Total!!Other fuel","Estimate!!Total!!No fuel used","Margin of Error!!Total!!No fuel used",
"0500000US01001","Autauga County, Alabama","20304","458","7190","445","2695","431","10047","561","32","48","13","21","179","108","0","27","0","27","148","68",
"0500000US01003","Baldwin County, Alabama","73058","1241","8046","589","2296","387","62024","1340","67","83","10","17","403","166","4","7","44","39","164","74",
"0500000US01005","Barbour County, Alabama","9145","311","641","137","1192","183","7106","289","35","38","0","21","105","42","0","21","4","6","62","33",
"0500000US01007","Bibb County, Alabama","7078","390","1155","209","765","169","4770","421","69","64","0","21","224","91","0","21","58","68","37","30",
"0500000US01009","Blount County, Alabama","20934","399","2455","312","2725","274","15139","516","94","91","34","42","375","121","2","3","13","17","97","84",
"0500000US01011","Bullock County, Alabama","3746","216","528","177","881","176","2284","278","5","8","0","18","37","62","0","18","11","18","0","18",
"0500000US01013","Butler County, Alabama","8253","252","1387","165","1728","179","4937","296","19","21","0","21","180","70","0","21","0","21","2","5",
"0500000US01015","Calhoun County, Alabama","45348","705","15348","717","3196","422","25787","879","90","47","0","27","678","148","17","19","45","27","187","99",
"0500000US01017","Chambers County, Alabama","13901","393","3198","252","2023","280","8360","405","28","26","0","24","228","87","0","24","8","13","56","50",
"0500000US01019","Cherokee County, Alabama","11726","451","1222","247","2919","332","7102","453","78","58","0","21","356","124","0","21","14","24","35","29",
"0500000US01021","Chilton County, Alabama","16281","375","1653","233","2616","289","11760","432","0","24","0","24","164","74","0","24","28","28","60","45",
"0500000US01023","Choctaw County, Alabama","5526","213","233","67","1601","190","3392","204","7","9","0","18","277","76","0","18","16","14","0","18",
"0500000US01025","Clarke County, Alabama","9791","277","2403","257","1307","226","5751","319","9","15","0","21","296","93","0","21","6","10","19","23",
"0500000US01027","Clay County, Alabama","5572","194","1264","165","937","165","3023","248","15","26","0","18","300","93","0","18","0","18","33","47",
"0500000US01029","Cleburne County, Alabama","5639","236","321","76","2068","238","2810","267","18","20","0","18","408","109","8","13","6","10","0","18",
"0500000US01031","Coffee County, Alabama","19086","368","1402","164","1099","120","16325","366","36","24","0","27","147","40","0","27","6","6","71","46",
"0500000US01033","Colbert County, Alabama","22442","414","6875","464","1699","226","13440","623","88","55","0","27","308","133","0","27","15","22","17","19",
"0500000US01035","Conecuh County, Alabama","5030","264","810","159","834","153","3225","264","12","13","0","18","126","55","0","18","0","18","23","32",
"0500000US01037","Coosa County, Alabama","4446","226","561","117","1067","180","2590","263","43","36","0","18","172","100","0","18","13","21","0","18",
"0500000US01039","Covington County, Alabama","14979","354","2855","261","1636","212","10168","404","15","19","0","24","234","67","0","24","32","25","39","31",
"0500000US01041","Crenshaw County, Alabama","5424","196","866","113","1271","140","3141","201","0","18","0","18","114","49","4","6","16","22","12","10",
"0500000US01043","Cullman County, Alabama","31160","558","3901","390","4464","413","21925","663","172","104","0","27","526","144","0","27","9","15","163","92",
"0500000US01045","Dale County, Alabama","19470","411","1910","198","736","139","16561","479","12","12","0","24","165","72","0","24","7","10","79","48",
"0500000US01047","Dallas County, Alabama","16259","383","6671","438","1968","231","7135","496","57","52","0","24","236","129","0","24","133","91","59","35",
"0500000US01049","DeKalb County, Alabama","24743","514","2173","277","4605","419","17188","508","119","60","0","27","558","158","0","27","34","24","66","42",
"0500000US01051","Elmore County, Alabama","28617","596","5147","434","3605","332","19554","698","12","20","0","27","122","64","0","27","65","52","112","72",
"0500000US01053","Escambia County, Alabama","13737","447","1833","244","836","162","10688","521","36","39","0","24","262","113","0","24","0","24","82","60",
"0500000US01055","Etowah County, Alabama","40001","614","16708","666","2561","273","20056","697","15","17","0","27","561","148","0","27","16","23","84","43",
"0500000US01057","Fayette County, Alabama","6967","228","1430","199","931","171","4282","307","32","36","16","15","258","85","0","18","2","3","16","17",
"0500000US01059","Franklin County, Alabama","12247","364","4604","347","1324","236","6017","464","56","60","0","24","234","74","0","24","6","10","6","8",
"0500000US01061","Geneva County, Alabama","10898","237","657","121","897","147","9056","257","26","34","0","21","174","81","0","21","19","24","69","38",
"0500000US01063","Greene County, Alabama","3282","225","457","103","917","146","1768","209","8","13","0","16","81","60","0","16","28","35","23","26",
"0500000US01065","Hale County, Alabama","5931","240","1135","183","1208","165","3320","302","82","56","0","18","174","62","0","18","0","18","12","16",
"0500000US01067","Henry County, Alabama","6900","270","507","139","333","88","5906","267","20","31","0","18","83","45","0","18","6","8","45","32",
"0500000US01069","Houston County, Alabama","39464","387","2065","130","770","104","36229","394","69","31","2","3","120","46","0","27","14","13","195","41",
"0500000US01071","Jackson County, Alabama","20425","446","2662","275","2801","307","14215","543","114","75","0","27","535","111","0","27","25","33","73","47",
"0500000US01073","Jefferson County, Alabama","259397","1647","142666","1983","4132","353","110749","1720","607","187","17","16","499","136","46","34","170","78","511","127",
"0500000US01075","Lamar County, Alabama","6147","261","1580","201","952","173","3255","296","14","21","0","18","307","101","0","18","17","18","22","19",
"0500000US01077","Lauderdale County, Alabama","38691","558","11021","575","2786","299","24219","795","56","44","0","27","441","124","0","27","33","34","135","57",
"0500000US01079","Lawrence County, Alabama","13312","270","2611","272","2060","269","8092","435","72","49","0","24","357","129","0","24","32","49","88","49",
"0500000US01081","Lee County, Alabama","56637","695","10323","561","3046","388","42706","1028","43","48","0","27","277","129","11","20","7","11","224","82",
"0500000US01083","Limestone County, Alabama","32156","719","3859","311","2991","437","24755","681","88","53","0","27","290","138","0","27","6","7","167","118",
"0500000US01085","Lowndes County, Alabama","4287","151","227","64","1584","169","2180","168","71","49","0","18","153","58","0","18","48","34","24","26",
"0500000US01087","Macon County, Alabama","8039","266","2783","196","1689","182","3347","222","8","11","0","18","130","78","0","18","79","65","3","5",
"0500000US01089","Madison County, Alabama","135409","1188","32801","1071","5216","448","95719","1429","355","144","27","31","873","220","0","27","50","41","368","103",
"0500000US01091","Marengo County, Alabama","8477","278","1674","243","1420","162","5089","316","81","63","17","27","166","79","0","21","5","7","25","22",
"0500000US01093","Marion County, Alabama","12602","388","4954","346","1179","211","6001","417","0","24","21","22","413","143","0","24","18","19","16","18",
"0500000US01095","Marshall County, Alabama","34524","461","9424","498","3023","351","21329","701","89","52","0","27","517","167","0","27","36","37","106","58",
"0500000US01097","Mobile County, Alabama","154400","1113","60497","1129","2263","318","90451","1431","84","48","0","27","467","160","15","16","128","80","495","157",
"0500000US01099","Monroe County, Alabama","8390","299","983","182","855","157","6297","317","16","18","0","21","211","84","0","21","0","21","28","32",
"0500000US01101","Montgomery County, Alabama","89143","931","45025","979","2455","266","41072","1147","46","35","3","6","328","126","0","27","34","34","180","72",
"0500000US01103","Morgan County, Alabama","45856","665","10077","615","3244","392","31649","780","92","52","0","27","668","183","0","27","48","44","78","48",
"0500000US01105","Perry County, Alabama","3263","229","884","184","739","180","1567","202","0","18","0","18","68","66","0","18","0","18","5","8",
"0500000US01107","Pickens County, Alabama","7741","250","1645","159","1482","182","4294","287","75","49","0","18","215","63","0","18","26","21","4","6",
"0500000US01109","Pike County, Alabama","12909","327","1579","234","1306","184","9808","404","9","9","0","24","163","72","0","24","16","17","28","19",
"0500000US01111","Randolph County, Alabama","9016","342","906","186","2329","247","5332","341","18","21","0","21","375","108","0","21","51","48","5","7",
"0500000US01113","Russell County, Alabama","21568","491","3643","355","1559","241","15962","527","34","31","0","27","214","85","7","11","32","44","117","56",
"0500000US01115","St. Clair County, Alabama","31673","608","8288","598","2871","347","19659","818","165","99","14","21","546","197","0","27","27","22","103","82",
"0500000US01117","Shelby County, Alabama","74790","680","30812","867","2882","322","40157","900","52","31","7","11","435","140","0","27","101","60","344","121",
"0500000US01119","Sumter County, Alabama","4962","245","427","114","1236","175","3123","263","7","9","0","18","115","51","0","18","8","10","46","38",
"0500000US01121","Talladega County, Alabama","31277","603","7523","436","3431","394","19730","733","61","40","12","20","441","153","0","27","11","14","68","79",
"0500000US01123","Tallapoosa County, Alabama","16437","395","2456","300","2539","265","11100","468","12","14","0","24","309","106","4","7","5","8","12","15",
"0500000US01125","Tuscaloosa County, Alabama","68103","974","20040","821","2082","277","45209","996","136","87","0","27","409","112","0","27","19","22","208","78",
"0500000US01127","Walker County, Alabama","25571","487","3250","248","2348","289","19286","596","3","4","34","26","553","146","0","27","14","21","83","47",
"0500000US01129","Washington County, Alabama","6218","231","594","126","1274","177","3940","254","0","18","17","22","372","104","0","18","10","13","11","19",
"0500000US01131","Wilcox County, Alabama","3843","202","372","86","794","126","2502","230","17","19","0","18","153","69","0","18","0","18","5","9",
"0500000US01133","Winston County, Alabama","9526","338","1942","205","2009","272","4993","326","36","32","9","13","503","140","0","21","15","17","19","24",
"0500000US02013","Aleutians East Borough, Alaska","577","170","4","9","6","12","16","12","523","150","0","9","26","12","0","9","2","3","0","9",
"0500000US02016","Aleutians West Census Area, Alaska","1105","122","34","16","7","6","62","20","939","106","0","13","14","10","0","13","47","14","2","2",
"0500000US02020","Anchorage Municipality, Alaska","105164","733","85315","975","874","161","15050","766","2425","334","9","12","791","219","0","22","288","100","412","115",
"0500000US02050","Bethel Census Area, Alaska","4441","128","22","21","0","15","80","43","3782","140","1","2","544","72","0","15","12","7","0","15",
"0500000US02060","Bristol Bay Borough, Alaska","398","46","4","5","0","9","0","9","382","46","0","9","4","9","0","9","7","7","1","4",
"0500000US02068","Denali Borough, Alaska","722","66","0","9","2","3","25","18","409","57","113","40","173","48","0","9","0","9","0","9",
"0500000US02070","Dillingham Census Area, Alaska","1353","55","13","12","2","3","16","12","1157","61","0","13","162","34","0","13","3","5","0","13",
"0500000US02090","Fairbanks North Star Borough, Alaska","35844","630","1902","266","386","128","2644","359","26819","820","497","185","2626","386","16","25","626","165","328","133",
"0500000US02100","Haines Borough, Alaska","1144","110","37","45","31","48","44","34","584","125","0","9","439","101","0","9","9","14","0","9",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","909","67","20","13","19","14","19","12","597","57","0","9","248","50","4","6","2","3","0","9",
"0500000US02110","Juneau City and Borough, Alaska","12081","251","248","72","354","117","2980","312","7859","306","12","19","404","125","0","20","152","63","72","45",
"0500000US02122","Kenai Peninsula Borough, Alaska","21559","410","9954","364","823","155","1367","197","6569","281","71","29","2645","233","0","22","97","47","33","29",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5305","165","133","58","208","61","1526","170","3081","207","0","15","307","81","0","15","44","30","6","7",
"0500000US02150","Kodiak Island Borough, Alaska","4560","165","151","64","13","14","380","104","3637","234","3","5","280","110","0","15","91","60","5","7",
"0500000US02164","Lake and Peninsula Borough, Alaska","510","51","0","9","0","9","11","7","436","43","0","9","59","15","0","9","4","4","0","9",
"0500000US02170","Matanuska-Susitna Borough, Alaska","31104","431","21744","432","393","89","1768","268","4594","309","84","42","2373","217","0","22","92","50","56","41",
"0500000US02180","Nome Census Area, Alaska","2839","101","44","20","12","9","50","20","2623","105","0","13","107","25","0","13","3","3","0","13",
"0500000US02185","North Slope Borough, Alaska","1977","172","1363","114","1","2","51","28","554","92","0","13","0","13","0","13","8","7","0","13",
"0500000US02188","Northwest Arctic Borough, Alaska","1886","91","38","21","3","5","51","20","1602","78","0","13","121","35","2","2","69","24","0","13",
"0500000US02195","Petersburg Borough, Alaska","1367","115","21","14","5","7","486","77","647","92","0","9","200","41","0","9","7","8","1","3",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","2377","90","23","11","113","30","299","38","1059","75","2","3","867","92","0","13","12","7","2","3",
"0500000US02220","Sitka City and Borough, Alaska","3513","147","89","49","193","70","1172","154","1799","153","6","11","208","81","0","13","21","17","25","22",
"0500000US02230","Skagway Municipality, Alaska","387","48","19","19","21","16","20","9","290","38","0","9","34","12","0","9","3","4","0","9",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","2156","123","39","26","0","13","60","42","1228","120","11","12","804","108","1","2","0","13","13","19",
"0500000US02261","Valdez-Cordova Census Area, Alaska","3225","182","189","73","91","71","112","51","2159","211","10","10","643","136","0","13","13","13","8","13",
"0500000US02270","Wade Hampton Census Area, Alaska","1690","56","15","9","9","7","31","17","1272","49","1","2","358","40","0","13","4","5","0","13",
"0500000US02275","Wrangell City and Borough, Alaska","1163","73","65","49","2","3","418","66","383","67","0","9","277","64","0","9","14","17","4","5",
"0500000US02282","Yakutat City and Borough, Alaska","265","36","16","12","2","3","9","8","205","33","0","9","32","13","0","9","1","2","0","9",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","2057","59","0","13","2","3","27","14","1026","49","15","10","980","59","1","2","3","3","3","4",
"0500000US04001","Apache County, Arizona","19046","362","1839","197","2324","238","2974","239","19","20","19","14","11297","415","30","26","501","106","43","23",
"0500000US04003","Cochise County, Arizona","48846","935","25267","802","6052","483","14600","873","160","86","0","30","1659","265","197","97","618","189","293","117",
"0500000US04005","Coconino County, Arizona","46391","847","23080","863","3925","391","10473","695","21","25","75","77","8134","486","161","71","334","127","188","102",
"0500000US04007","Gila County, Arizona","20824","575","8134","593","1956","287","7541","543","51","47","52","68","2461","293","56","54","494","145","79","60",
"0500000US04009","Graham County, Arizona","10975","345","5709","367","785","151","3837","307","24","37","0","27","468","125","36","41","80","46","36","29",
"0500000US04011","Greenlee County, Arizona","3446","139","2432","183","122","45","684","118","14","23","0","18","145","55","0","18","41","30","8","12",
"0500000US04012","La Paz County, Arizona","9707","570","1106","244","2185","363","5973","527","17","18","0","24","60","41","19","23","7","7","340","126",
"0500000US04013","Maricopa County, Arizona","1424244","5177","393155","3793","10413","805","1006088","4514","703","176","8","12","2075","320","2165","320","715","151","8922","601",
"0500000US04015","Mohave County, Arizona","80529","1189","27762","914","4065","478","44203","1146","18","19","18","26","2344","365","169","72","1167","296","783","252",
"0500000US04017","Navajo County, Arizona","34018","715","10220","536","4487","382","6295","497","18","21","101","39","12365","553","60","43","374","109","98","39",
"0500000US04019","Pima County, Arizona","386155","2098","209745","2096","9294","561","161204","2366","309","148","15","18","1913","282","544","127","381","134","2750","352",
"0500000US04021","Pinal County, Arizona","126128","1749","45002","1297","3376","488","76225","1811","27","34","0","30","571","153","248","129","153","116","526","137",
"0500000US04023","Santa Cruz County, Arizona","15514","354","5814","408","1812","308","7225","437","62","52","0","27","376","124","23","16","57","35","145","86",
"0500000US04025","Yavapai County, Arizona","91508","1259","46530","1224","14824","819","24543","1130","92","55","0","30","3864","405","391","168","881","209","383","145",
"0500000US04027","Yuma County, Arizona","69915","1057","13823","713","3450","424","38673","999","77","55","0","30","287","112","37","35","128","94","13440","810",
"0500000US05001","Arkansas County, Arkansas","7787","279","3087","292","506","105","4040","331","16","15","0","18","108","43","0","18","12","12","18","23",
"0500000US05003","Ashley County, Arkansas","8518","299","3094","254","765","126","4245","339","18","13","0","21","302","86","2","3","62","44","30","36",
"0500000US05005","Baxter County, Arkansas","18237","506","5428","397","2109","295","9094","514","25","25","0","24","1441","250","12","20","50","37","78","50",
"0500000US05007","Benton County, Arkansas","83191","918","40870","940","6456","437","31809","957","74","48","0","27","3446","354","29","28","386","101","121","73",
"0500000US05009","Boone County, Arkansas","14855","354","5053","345","2221","297","6185","393","3","5","0","24","1358","294","0","24","23","25","12","19",
"0500000US05011","Bradley County, Arkansas","4720","192","1314","186","654","132","2351","195","19","28","0","18","322","100","6","10","54","58","0","18",
"0500000US05013","Calhoun County, Arkansas","2062","142","726","110","373","96","738","125","3","6","0","16","211","79","0","16","10","14","1","3",
"0500000US05015","Carroll County, Arkansas","11069","371","3200","269","2414","294","4315","352","14","22","0","21","1006","190","38","59","45","38","37","46",
"0500000US05017","Chicot County, Arkansas","4495","250","1659","194","620","123","2131","186","15","23","0","18","16","17","0","18","48","33","6","10",
"0500000US05019","Clark County, Arkansas","8467","400","3159","298","541","126","4199","383","0","21","0","21","522","119","0","21","44","38","2","4",
"0500000US05021","Clay County, Arkansas","6729","214","2999","244","1356","154","1894","208","6","6","0","18","443","88","0","18","27","29","4","7",
"0500000US05023","Cleburne County, Arkansas","10292","334","2237","267","2277","285","4897","364","19","17","0","21","757","191","23","27","58","45","24","33",
"0500000US05025","Cleveland County, Arkansas","3270","147","487","90","422","99","2080","153","0","16","0","16","246","78","0","16","29","29","6","10",
"0500000US05027","Columbia County, Arkansas","9509","317","4099","311","539","140","4573","369","0","21","0","21","272","89","0","21","15","27","11","15",
