"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Utility gas","Margin of Error!!Total!!Utility gas","Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas","Estimate!!Total!!Electricity","Margin of Error!!Total!!Electricity","Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.","Estimate!!Total!!Coal or coke","Margin of Error!!Total!!Coal or coke","Estimate!!Total!!Wood","Margin of Error!!Total!!Wood","Estimate!!Total!!Solar energy","Margin of Error!!Total!!Solar energy","Estimate!!Total!!Other fuel","Margin of Error!!Total!!Other fuel","Estimate!!Total!!No fuel used","Margin of Error!!Total!!No fuel used",
"0500000US01001","Autauga County, Alabama","19718","348","7727","372","2747","249","9039","418","21","22","0","119","94","48","0","119","0","119","90","57",
"0500000US01003","Baldwin County, Alabama","69476","1105","9460","609","2753","362","56579","1045","55","56","0","119","412","117","0","119","38","44","179","125",
"0500000US01005","Barbour County, Alabama","9795","337","905","176","1677","193","7087","351","7","11","0","119","98","49","0","119","0","119","21","22",
"0500000US01007","Bibb County, Alabama","7441","288","1674","258","738","179","4786","341","7","12","59","89","96","57","0","119","58","67","23","28",
"0500000US01009","Blount County, Alabama","20605","431","2928","304","3314","333","13622","543","123","69","0","119","482","138","12","18","48","37","76","47",
"0500000US01011","Bullock County, Alabama","3732","216","742","197","957","207","1935","283","42","62","0","119","29","49","0","119","20","33","7","20",
"0500000US01013","Butler County, Alabama","8019","336","1398","209","2221","260","4245","282","10","13","0","119","136","63","0","119","0","119","9","15",
"0500000US01015","Calhoun County, Alabama","46421","704","16791","666","3430","349","25255","920","66","50","0","119","665","134","13","23","43","42","158","86",
"0500000US01017","Chambers County, Alabama","13681","350","3508","325","2371","268","7298","371","50","46","0","119","420","151","0","119","0","119","34","32",
"0500000US01019","Cherokee County, Alabama","11352","360","1202","210","3225","443","6321","477","77","60","0","119","484","161","0","119","0","119","43","40",
"0500000US01021","Chilton County, Alabama","16563","338","1994","250","3901","421","10394","536","34","38","0","119","223","106","0","119","17","18","0","119",
"0500000US01023","Choctaw County, Alabama","5296","254","318","84","1718","216","2950","293","14","16","0","119","296","100","0","119","0","119","0","119",
"0500000US01025","Clarke County, Alabama","9144","407","2134","273","1991","318","4664","299","0","119","0","119","323","114","0","119","0","119","32","37",
"0500000US01027","Clay County, Alabama","5851","504","1162","247","1379","253","2886","339","22","38","0","119","390","131","0","119","0","119","12","18",
"0500000US01029","Cleburne County, Alabama","5397","244","534","143","2160","229","2368","278","61","57","0","119","266","90","0","119","8","12","0","119",
"0500000US01031","Coffee County, Alabama","18928","377","1525","208","1547","165","15653","404","19","20","0","119","110","44","0","119","3","6","71","48",
"0500000US01033","Colbert County, Alabama","22165","465","7691","521","2487","302","11585","530","146","80","0","119","210","95","0","119","37","37","9","15",
"0500000US01035","Conecuh County, Alabama","4861","315","1013","158","825","215","2782","308","0","119","0","119","241","112","0","119","0","119","0","119",
"0500000US01037","Coosa County, Alabama","4561","220","458","118","1413","186","2438","216","47","56","0","119","193","94","0","119","12","15","0","119",
"0500000US01039","Covington County, Alabama","14663","427","3334","303","2036","247","8876","463","36","32","0","119","296","115","0","119","6","11","79","54",
"0500000US01041","Crenshaw County, Alabama","5641","203","915","144","1625","207","2985","222","9","16","0","119","64","51","0","119","21","31","22","25",
"0500000US01043","Cullman County, Alabama","31263","512","3566","339","5392","514","21436","679","226","134","22","30","506","170","0","119","10","16","105","61",
"0500000US01045","Dale County, Alabama","19545","380","2235","236","969","175","16156","384","41","37","0","119","81","50","0","119","24","28","39","26",
"0500000US01047","Dallas County, Alabama","16795","409","7634","464","2412","295","6562","505","16","21","0","119","124","93","0","119","17","19","30","29",
"0500000US01049","DeKalb County, Alabama","25937","649","2978","386","6940","486","14907","694","213","108","21","32","824","217","2","4","19","25","33","31",
"0500000US01051","Elmore County, Alabama","27762","596","5234","420","4405","407","17751","602","43","37","0","119","252","131","0","119","22","37","55","42",
"0500000US01053","Escambia County, Alabama","13804","393","2215","261","1080","205","10148","446","25","25","2","4","316","172","0","119","6","10","12","18",
"0500000US01055","Etowah County, Alabama","41584","610","18789","603","3263","268","18724","719","74","57","0","119","605","162","0","119","31","24","98","77",
"0500000US01057","Fayette County, Alabama","7164","269","1607","202","1372","206","3929","312","14","18","0","119","214","87","0","119","11","16","17","24",
"0500000US01059","Franklin County, Alabama","12367","292","5338","389","1518","221","5187","354","76","69","0","119","209","85","0","119","28","29","11","20",
"0500000US01061","Geneva County, Alabama","10720","351","1000","225","1103","205","8403","378","38","44","0","119","155","78","0","119","0","119","21","28",
"0500000US01063","Greene County, Alabama","3522","212","727","149","1112","199","1604","227","15","20","0","119","64","51","0","119","0","119","0","119",
"0500000US01065","Hale County, Alabama","5843","225","1275","172","1336","211","2936","242","34","32","11","17","234","72","0","119","9","14","8","13",
"0500000US01067","Henry County, Alabama","6656","332","669","192","657","180","5199","335","25","34","0","119","50","42","0","119","7","13","49","52",
"0500000US01069","Houston County, Alabama","38035","391","2598","163","1230","127","33831","394","112","42","0","119","78","26","0","119","6","6","180","43",
"0500000US01071","Jackson County, Alabama","21173","465","2749","298","4177","343","13275","544","227","102","0","119","664","161","0","119","35","31","46","38",
"0500000US01073","Jefferson County, Alabama","260441","1798","158507","1748","4930","463","95016","1752","755","172","38","50","508","114","32","28","212","95","443","150",
"0500000US01075","Lamar County, Alabama","5944","258","1518","178","1078","178","3045","262","22","43","0","119","270","99","5","12","0","119","6","11",
"0500000US01077","Lauderdale County, Alabama","37713","677","11487","612","3411","345","22006","755","130","67","0","119","550","148","0","119","70","64","59","53",
"0500000US01079","Lawrence County, Alabama","13412","292","2854","284","3191","319","6996","443","133","72","2","5","202","99","3","5","13","21","18","21",
"0500000US01081","Lee County, Alabama","54016","745","12092","663","3934","426","37369","865","76","44","6","10","351","134","10","17","35","32","143","57",
"0500000US01083","Limestone County, Alabama","30028","499","4336","404","4122","387","20971","634","216","112","0","119","206","89","1","4","55","46","121","63",
"0500000US01085","Lowndes County, Alabama","4205","200","316","93","1860","167","1888","210","16","22","0","119","114","46","0","119","4","6","7","11",
"0500000US01087","Macon County, Alabama","7969","384","2997","281","1668","207","3014","272","56","48","0","119","141","87","0","119","69","49","24","25",
"0500000US01089","Madison County, Alabama","126564","1024","35347","867","6493","520","83285","1227","411","139","0","119","705","147","0","119","55","42","268","85",
"0500000US01091","Marengo County, Alabama","8494","375","1990","273","1930","272","4307","346","44","44","0","119","179","85","0","119","0","119","44","67",
"0500000US01093","Marion County, Alabama","12744","417","5098","418","1555","242","5622","407","0","119","13","19","424","162","0","119","0","119","32","37",
"0500000US01095","Marshall County, Alabama","34433","560","10066","586","3802","384","19732","696","134","79","0","119","613","161","0","119","25","28","61","42",
"0500000US01097","Mobile County, Alabama","153302","1411","68130","1161","3197","338","80758","1314","135","63","0","119","562","172","8","13","40","35","472","123",
"0500000US01099","Monroe County, Alabama","9191","303","1346","245","1194","258","6428","371","0","119","0","119","208","78","0","119","0","119","15","18",
"0500000US01101","Montgomery County, Alabama","88772","852","49185","814","2930","373","36130","967","76","56","0","119","271","103","0","119","0","119","180","85",
"0500000US01103","Morgan County, Alabama","46375","568","10982","525","4625","370","29975","771","264","128","0","119","465","150","0","119","0","119","64","47",
