"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Utility gas","Margin of Error!!Total:!!Utility gas","Estimate!!Total:!!Bottled, tank, or LP gas","Margin of Error!!Total:!!Bottled, tank, or LP gas","Estimate!!Total:!!Electricity","Margin of Error!!Total:!!Electricity","Estimate!!Total:!!Fuel oil, kerosene, etc.","Margin of Error!!Total:!!Fuel oil, kerosene, etc.","Estimate!!Total:!!Coal or coke","Margin of Error!!Total:!!Coal or coke","Estimate!!Total:!!Wood","Margin of Error!!Total:!!Wood","Estimate!!Total:!!Solar energy","Margin of Error!!Total:!!Solar energy","Estimate!!Total:!!Other fuel","Margin of Error!!Total:!!Other fuel","Estimate!!Total:!!No fuel used","Margin of Error!!Total:!!No fuel used",
"0500000US01001","Autauga County, Alabama","22308","369","6912","551","1802","303","13327","720","13","23","0","30","166","111","0","30","0","30","88","77",
"0500000US01003","Baldwin County, Alabama","90802","1229","8356","701","1570","330","79759","1503","82","81","0","30","346","139","30","36","11","20","648","256",
"0500000US01005","Barbour County, Alabama","9016","304","565","132","754","171","7586","385","0","24","0","24","45","28","0","24","9","12","57","42",
"0500000US01007","Bibb County, Alabama","7216","252","1414","286","684","214","4828","337","0","24","0","24","236","141","0","24","6","12","48","47",
"0500000US01009","Blount County, Alabama","21626","386","2743","358","2286","347","16144","560","21","30","0","30","299","112","18","29","3","5","112","62",
"0500000US01011","Bullock County, Alabama","3450","214","236","91","614","159","2529","221","0","20","0","20","64","70","0","20","7","11","0","20",
"0500000US01013","Butler County, Alabama","7131","321","941","163","1055","159","4999","315","8","13","0","20","105","47","0","20","0","20","23","21",
"0500000US01015","Calhoun County, Alabama","44693","646","12307","767","2662","324","28875","947","27","27","0","30","499","167","0","30","22","30","301","156",
"0500000US01017","Chambers County, Alabama","13143","375","2293","364","1403","273","9092","469","25","34","0","27","196","109","18","19","13","23","103","70",
"0500000US01019","Cherokee County, Alabama","9997","438","1164","186","2106","283","6451","427","3","4","0","24","227","76","0","24","40","64","6","7",
"0500000US01021","Chilton County, Alabama","16931","420","1121","273","2832","426","12766","653","12","13","0","27","147","101","0","27","3","6","50","50",
"0500000US01023","Choctaw County, Alabama","5228","255","180","92","1096","204","3704","288","5","8","0","20","232","89","0","20","2","3","9","11",
"0500000US01025","Clarke County, Alabama","8188","344","1856","242","1094","187","5004","390","13","22","0","24","147","76","0","24","0","24","74","67",
"0500000US01027","Clay County, Alabama","5485","250","1179","226","581","137","3222","275","0","20","9","14","440","178","0","20","0","20","54","51",
"0500000US01029","Cleburne County, Alabama","5761","196","356","123","1436","238","3664","281","16","29","0","20","196","105","0","20","78","99","15","17",
"0500000US01031","Coffee County, Alabama","20363","424","1461","274","970","174","17678","502","6","7","0","30","49","22","0","30","3","4","196","92",
"0500000US01033","Colbert County, Alabama","23266","475","6664","460","1619","312","14656","610","44","39","58","87","87","47","0","30","29","30","109","86",
"0500000US01035","Conecuh County, Alabama","4453","226","803","180","635","197","2893","259","10","16","0","20","84","53","6","10","0","20","22","24",
"0500000US01037","Coosa County, Alabama","3999","204","189","80","809","180","2759","238","0","20","0","20","225","93","0","20","0","20","17","17",
"0500000US01039","Covington County, Alabama","14194","365","2140","225","1077","160","10780","407","12","17","0","27","111","55","0","27","0","27","74","41",
"0500000US01041","Crenshaw County, Alabama","4839","194","593","109","710","111","3433","228","25","27","0","20","47","27","0","20","8","10","23","19",
"0500000US01043","Cullman County, Alabama","33649","590","3724","466","3644","417","25323","823","222","146","49","43","484","157","0","30","9","15","194","112",
"0500000US01045","Dale County, Alabama","19400","365","1655","242","548","129","16869","431","10","15","9","14","65","37","0","27","26","24","218","90",
"0500000US01047","Dallas County, Alabama","14753","397","5680","498","1456","246","7207","426","6","9","0","27","162","112","0","27","10","18","232","174",
"0500000US01049","DeKalb County, Alabama","25690","433","2976","340","4109","461","18021","524","56","40","0","30","289","87","0","30","66","45","173","91",
"0500000US01051","Elmore County, Alabama","32184","489","5694","517","2841","363","23112","720","56","53","9","14","159","78","28","33","68","92","217","109",
"0500000US01053","Escambia County, Alabama","13022","378","1169","211","612","179","10986","465","0","27","0","27","112","65","0","27","0","27","143","113",
"0500000US01055","Etowah County, Alabama","38791","600","13242","747","2095","301","22847","853","60","47","0","30","460","144","0","30","20","22","67","47",
"0500000US01057","Fayette County, Alabama","6143","227","1368","214","715","133","3851","289","10","12","6","11","157","81","0","20","21","35","15","20",
"0500000US01059","Franklin County, Alabama","11239","368","3483","381","904","267","6711","479","10","19","0","27","99","56","0","27","0","27","32","28",
"0500000US01061","Geneva County, Alabama","10391","297","486","142","379","104","9294","324","18","15","0","24","84","47","30","46","0","24","100","60",
"0500000US01063","Greene County, Alabama","2872","185","619","168","575","178","1601","234","0","18","0","18","70","47","0","18","0","18","7","9",
"0500000US01065","Hale County, Alabama","5403","248","640","155","626","158","3955","273","0","20","0","20","150","95","0","20","0","20","32","30",
"0500000US01067","Henry County, Alabama","6686","215","221","86","379","126","5977","246","0","20","0","20","36","27","0","20","6","11","67","39",
"0500000US01069","Houston County, Alabama","41543","396","2217","187","416","77","38430","412","11","14","2","3","64","24","7","7","2","3","394","88",
"0500000US01071","Jackson County, Alabama","20670","401","2069","287","2876","331","14990","555","37","39","0","30","531","147","0","30","5","6","162","113",
"0500000US01073","Jefferson County, Alabama","265794","1660","132579","2393","4760","721","125983","2647","213","87","80","84","375","148","35","40","257","136","1512","469",
"0500000US01075","Lamar County, Alabama","5168","282","1175","209","534","137","3237","300","32","42","0","20","132","71","0","20","35","29","23","35",
"0500000US01077","Lauderdale County, Alabama","38237","651","9581","781","2331","316","25314","896","77","51","0","30","496","182","0","30","0","30","438","214",
"0500000US01079","Lawrence County, Alabama","12829","324","1988","282","1257","255","9319","511","33","27","0","27","149","74","0","27","14","22","69","51",
