"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Utility gas","Margin of Error!!Total!!Utility gas","Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas","Estimate!!Total!!Electricity","Margin of Error!!Total!!Electricity","Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.","Estimate!!Total!!Coal or coke","Margin of Error!!Total!!Coal or coke","Estimate!!Total!!Wood","Margin of Error!!Total!!Wood","Estimate!!Total!!Solar energy","Margin of Error!!Total!!Solar energy","Estimate!!Total!!Other fuel","Margin of Error!!Total!!Other fuel","Estimate!!Total!!No fuel used","Margin of Error!!Total!!No fuel used",
"0500000US01001","Autauga County, Alabama","19998","396","7251","422","2767","336","9677","619","35","44","0","89","143","68","0","89","0","89","125","69",
"0500000US01003","Baldwin County, Alabama","70757","1214","9147","711","2682","390","58304","1214","74","78","0","89","356","138","0","89","47","41","147","100",
"0500000US01005","Barbour County, Alabama","9589","326","897","182","1526","192","7017","368","27","30","0","89","91","40","0","89","0","89","31","24",
"0500000US01007","Bibb County, Alabama","7225","406","1449","257","738","224","4837","445","4","9","0","89","124","78","0","89","59","69","14","19",
"0500000US01009","Blount County, Alabama","20954","414","2503","274","3026","334","14679","506","59","49","0","89","552","171","14","21","41","33","80","55",
"0500000US01011","Bullock County, Alabama","3760","198","679","190","956","208","2012","282","30","45","0","89","38","58","0","89","20","25","25","28",
"0500000US01013","Butler County, Alabama","8090","283","1295","178","2272","242","4335","314","10","14","0","89","159","72","0","89","0","89","19","30",
"0500000US01015","Calhoun County, Alabama","45923","653","15952","655","3541","368","25486","887","70","47","0","89","681","161","16","31","61","39","116","80",
"0500000US01017","Chambers County, Alabama","13562","372","3403","260","2106","307","7570","423","56","50","0","89","382","133","0","89","0","89","45","40",
"0500000US01019","Cherokee County, Alabama","11508","452","1159","207","3367","363","6277","459","120","76","0","89","571","167","0","89","0","89","14","22",
"0500000US01021","Chilton County, Alabama","16277","396","1850","273","3535","416","10645","524","35","44","0","89","174","74","0","89","3","5","35","29",
"0500000US01023","Choctaw County, Alabama","5165","262","323","89","1583","191","2937","265","24","21","0","89","287","107","0","89","11","15","0","89",
"0500000US01025","Clarke County, Alabama","9114","354","2479","269","1608","257","4632","399","0","89","0","89","361","101","0","89","0","89","34","44",
"0500000US01027","Clay County, Alabama","5837","223","1245","168","1343","195","2773","259","22","33","0","89","440","107","0","89","0","89","14","17",
"0500000US01029","Cleburne County, Alabama","5521","220","419","116","2199","261","2501","259","56","53","0","89","338","106","0","89","8","13","0","89",
"0500000US01031","Coffee County, Alabama","18799","386","1430","170","1376","144","15782","405","18","19","0","89","117","42","0","89","6","6","70","36",
"0500000US01033","Colbert County, Alabama","22322","451","7485","504","2217","265","12189","556","161","80","0","89","242","114","0","89","22","26","6","10",
"0500000US01035","Conecuh County, Alabama","4712","307","978","207","750","196","2812","284","0","89","0","89","155","72","0","89","0","89","17","27",
"0500000US01037","Coosa County, Alabama","4667","204","447","100","1395","217","2601","248","15","22","0","89","200","87","0","89","9","10","0","89",
"0500000US01039","Covington County, Alabama","14742","403","3188","333","2004","280","9122","425","38","31","0","89","319","116","0","89","21","18","50","39",
"0500000US01041","Crenshaw County, Alabama","5650","174","914","109","1507","175","3098","235","0","89","0","89","97","54","0","89","17","26","17","27",
