"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Utility gas","Margin of Error!!Total:!!Utility gas","Estimate!!Total:!!Bottled, tank, or LP gas","Margin of Error!!Total:!!Bottled, tank, or LP gas","Estimate!!Total:!!Electricity","Margin of Error!!Total:!!Electricity","Estimate!!Total:!!Fuel oil, kerosene, etc.","Margin of Error!!Total:!!Fuel oil, kerosene, etc.","Estimate!!Total:!!Coal or coke","Margin of Error!!Total:!!Coal or coke","Estimate!!Total:!!Wood","Margin of Error!!Total:!!Wood","Estimate!!Total:!!Solar energy","Margin of Error!!Total:!!Solar energy","Estimate!!Total:!!Other fuel","Margin of Error!!Total:!!Other fuel","Estimate!!Total:!!No fuel used","Margin of Error!!Total:!!No fuel used",
"0500000US01001","Autauga County, Alabama","22523","431","7026","611","1737","288","13553","719","16","26","0","31","105","101","0","31","11","18","75","55",
"0500000US01003","Baldwin County, Alabama","94642","1316","9139","730","1653","356","82764","1440","88","85","0","31","303","150","27","35","24","39","644","315",
"0500000US01005","Barbour County, Alabama","9080","315","526","135","735","145","7701","334","0","25","0","25","43","33","0","25","3","4","72","49",
"0500000US01007","Bibb County, Alabama","7571","288","1479","236","570","186","5215","382","0","25","0","25","222","181","0","25","6","11","79","71",
"0500000US01009","Blount County, Alabama","21977","403","2785","348","2258","284","16294","534","16","20","26","43","438","175","18","30","3","5","139","69",
"0500000US01011","Bullock County, Alabama","3453","245","407","150","758","210","2209","311","0","21","0","21","61","71","0","21","18","31","0","21",
"0500000US01013","Butler County, Alabama","7262","313","977","181","1043","169","5112","343","11","17","0","21","80","40","0","21","0","21","39","31",
"0500000US01015","Calhoun County, Alabama","45125","708","12233","731","2680","364","29183","877","20","27","0","31","610","222","0","31","87","107","312","171",
"0500000US01017","Chambers County, Alabama","13419","476","2266","374","1338","300","9462","580","48","57","0","28","168","110","47","45","11","20","79","62",
"0500000US01019","Cherokee County, Alabama","10477","416","1241","216","1882","262","6988","436","2","4","0","25","340","129","0","25","11","20","13","12",
"0500000US01021","Chilton County, Alabama","17554","415","1280","269","2746","388","13263","583","20","24","4","7","146","88","0","28","3","6","92","65",
"0500000US01023","Choctaw County, Alabama","5174","261","186","73","914","201","3896","324","3","6","0","21","172","75","0","21","3","5","0","21",
"0500000US01025","Clarke County, Alabama","8452","367","1840","267","1070","219","5339","385","13","23","0","25","133","69","0","25","0","25","57","51",
"0500000US01027","Clay County, Alabama","5765","262","1226","233","709","165","3427","270","0","21","0","21","359","139","0","21","0","21","44","38",
"0500000US01029","Cleburne County, Alabama","5849","215","458","147","1536","256","3556","268","0","21","0","21","194","105","0","21","74","96","31","25",
"0500000US01031","Coffee County, Alabama","20860","435","1606","226","912","157","18061","512","7","7","0","31","40","18","0","31","2","3","232","102",
"0500000US01033","Colbert County, Alabama","24217","489","6747","604","1781","313","15304","611","29","31","47","74","108","75","0","31","41","39","160","136",
