"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Utility gas","Margin of Error!!Total!!Utility gas","Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas","Estimate!!Total!!Electricity","Margin of Error!!Total!!Electricity","Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.","Estimate!!Total!!Coal or coke","Margin of Error!!Total!!Coal or coke","Estimate!!Total!!Wood","Margin of Error!!Total!!Wood","Estimate!!Total!!Solar energy","Margin of Error!!Total!!Solar energy","Estimate!!Total!!Other fuel","Margin of Error!!Total!!Other fuel","Estimate!!Total!!No fuel used","Margin of Error!!Total!!No fuel used",
"0500000US01001","Autauga County, Alabama","21115","383","7432","461","2352","304","11080","662","0","28","16","24","137","81","0","28","0","28","98","84",
"0500000US01003","Baldwin County, Alabama","78622","1183","7541","649","1582","260","68525","1211","53","43","11","17","421","143","13","22","25","29","451","135",
"0500000US01005","Barbour County, Alabama","9186","280","626","133","1137","190","7246","333","33","49","0","22","83","48","0","22","6","9","55","29",
"0500000US01007","Bibb County, Alabama","6840","321","1140","209","1011","259","4521","354","16","23","0","22","139","74","0","22","0","22","13","17",
"0500000US01009","Blount County, Alabama","20600","396","2156","211","2195","283","15806","527","70","74","46","48","271","106","2","4","0","28","54","38",
"0500000US01011","Bullock County, Alabama","3609","196","455","151","534","162","2537","235","6","9","0","19","77","63","0","19","0","19","0","19",
"0500000US01013","Butler County, Alabama","6708","274","895","150","1091","135","4569","283","7","11","0","22","116","45","0","22","0","22","30","21",
"0500000US01015","Calhoun County, Alabama","45033","683","14516","633","2546","346","27199","875","52","39","0","28","465","147","28","29","27","32","200","99",
"0500000US01017","Chambers County, Alabama","13516","372","2438","323","1608","244","9226","461","26","25","0","25","191","90","0","25","2","4","25","26",
"0500000US01019","Cherokee County, Alabama","10606","370","1426","236","2482","280","6221","402","79","82","0","22","286","107","0","22","87","83","25","24",
"0500000US01021","Chilton County, Alabama","16751","494","1802","253","2562","351","11976","544","27","31","0","25","324","128","0","25","19","20","41","33",
"0500000US01023","Choctaw County, Alabama","5350","241","245","69","1311","199","3511","286","40","45","0","19","226","87","0","19","9","11","8","9",
"0500000US01025","Clarke County, Alabama","9358","322","2190","257","1117","191","5779","297","5","8","0","22","180","69","0","22","0","22","87","56",
"0500000US01027","Clay County, Alabama","5236","241","1081","164","700","156","3013","290","0","19","10","17","379","128","0","19","0","19","53","46",
"0500000US01029","Cleburne County, Alabama","5726","180","376","111","1646","185","3353","214","24","34","0","19","282","89","14","26","3","4","28","24",
"0500000US01031","Coffee County, Alabama","19789","339","1418","209","975","134","17212","399","5","8","0","28","60","21","0","28","0","28","119","51",
"0500000US01033","Colbert County, Alabama","21799","445","6312","446","1607","229","13537","537","81","39","0","28","196","82","9","13","27","41","30","27",
"0500000US01035","Conecuh County, Alabama","4574","254","743","176","412","106","3289","296","16","25","0","19","82","53","0","19","0","19","32","32",
"0500000US01037","Coosa County, Alabama","4103","243","381","102","910","176","2646","227","8","11","0","19","140","65","0","19","18","21","0","19",
"0500000US01039","Covington County, Alabama","15008","381","2647","222","1190","162","10950","403","12","18","0","25","148","66","0","25","41","41","20","19",
"0500000US01041","Crenshaw County, Alabama","5025","193","698","94","984","129","3177","209","17","17","0","19","122","69","0","19","18","22","9","10",
"0500000US01043","Cullman County, Alabama","30730","592","3486","320","3799","351","22787","659","42","32","15","26","392","153","0","28","0","28","209","93",
"0500000US01045","Dale County, Alabama","18670","402","1613","231","652","144","16133","409","42","35","0","25","89","68","0","25","20","28","121","55",
