"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Utility gas","Margin of Error!!Total:!!Utility gas","Estimate!!Total:!!Bottled, tank, or LP gas","Margin of Error!!Total:!!Bottled, tank, or LP gas","Estimate!!Total:!!Electricity","Margin of Error!!Total:!!Electricity","Estimate!!Total:!!Fuel oil, kerosene, etc.","Margin of Error!!Total:!!Fuel oil, kerosene, etc.","Estimate!!Total:!!Coal or coke","Margin of Error!!Total:!!Coal or coke","Estimate!!Total:!!Wood","Margin of Error!!Total:!!Wood","Estimate!!Total:!!Solar energy","Margin of Error!!Total:!!Solar energy","Estimate!!Total:!!Other fuel","Margin of Error!!Total:!!Other fuel","Estimate!!Total:!!No fuel used","Margin of Error!!Total:!!No fuel used",
"0500000US01001","Autauga County, Alabama","21559","366","7563","453","1973","284","11773","630","8","13","0","29","131","105","0","29","0","29","111","77",
"0500000US01003","Baldwin County, Alabama","84047","1143","8068","807","1687","303","73262","1326","36","40","0","29","499","188","30","33","12","20","453","177",
"0500000US01005","Barbour County, Alabama","9322","338","558","103","955","225","7671","337","38","54","0","23","57","43","0","23","8","11","35","32",
"0500000US01007","Bibb County, Alabama","7259","299","1793","306","570","165","4587","422","0","23","0","23","282","157","0","23","0","23","27","35",
"0500000US01009","Blount County, Alabama","21205","430","2453","309","2325","371","15997","544","25","26","0","29","305","107","19","30","4","8","77","50",
"0500000US01011","Bullock County, Alabama","3429","195","293","118","736","166","2331","245","0","19","0","19","69","73","0","19","0","19","0","19",
"0500000US01013","Butler County, Alabama","6649","282","848","149","1231","215","4464","290","0","19","0","19","76","44","0","19","0","19","30","26",
"0500000US01015","Calhoun County, Alabama","44572","642","13341","700","2567","394","27815","832","35","32","0","29","565","199","0","29","19","33","230","114",
"0500000US01017","Chambers County, Alabama","13582","418","2128","313","1429","247","9711","514","13","18","0","26","256","123","0","26","2","3","43","38",
"0500000US01019","Cherokee County, Alabama","10836","476","1562","237","2629","344","6225","475","10","16","0","23","338","151","0","23","57","63","15","17",
"0500000US01021","Chilton County, Alabama","17140","358","1280","230","2731","418","12779","560","31","29","0","26","279","124","0","26","3","5","37","33",
"0500000US01023","Choctaw County, Alabama","5330","255","254","112","1120","174","3689","319","14","19","0","19","246","81","0","19","0","19","7","10",
"0500000US01025","Clarke County, Alabama","9323","439","2021","286","1228","214","5855","401","5","8","0","23","129","46","0","23","0","23","85","57",
"0500000US01027","Clay County, Alabama","5153","269","1016","184","643","146","3058","276","0","19","8","13","395","167","0","19","0","19","33","31",
"0500000US01029","Cleburne County, Alabama","5835","194","450","137","1462","194","3602","236","23","36","0","19","221","79","0","19","68","94","9","14",
"0500000US01031","Coffee County, Alabama","19951","457","1458","235","887","137","17392","421","2","3","0","29","33","17","0","29","2","3","177","67",
"0500000US01033","Colbert County, Alabama","21797","514","6257","505","1811","351","13337","666","82","47","67","104","137","57","11","17","35","44","60","58",
"0500000US01035","Conecuh County, Alabama","4585","297","690","190","553","144","3206","321","7","13","0","19","108","53","0","19","0","19","21","25",
"0500000US01037","Coosa County, Alabama","4016","203","209","68","843","152","2737","202","11","17","0","19","198","85","0","19","17","19","1","2",
"0500000US01039","Covington County, Alabama","14995","400","2450","257","951","172","11417","458","24","30","0","26","101","47","0","26","0","26","52","55",
"0500000US01041","Crenshaw County, Alabama","5011","209","577","113","933","136","3396","203","19","23","0","19","63","42","0","19","11","16","12","12",
"0500000US01043","Cullman County, Alabama","31733","507","3243","388","3753","399","23716","737","222","181","41","51","582","169","0","29","0","29","176","96",
"0500000US01045","Dale County, Alabama","19405","433","1752","256","656","165","16734","540","21","32","7","11","46","26","0","26","12","18","177","71",
"0500000US01047","Dallas County, Alabama","15409","422","6325","597","1664","305","7054","565","0","26","0","26","47","30","0","26","8","13","311","253",
"0500000US01049","DeKalb County, Alabama","26365","479","3003","364","4855","508","17911","704","60","40","0","29","361","97","0","29","27","29","148","74",
"0500000US01051","Elmore County, Alabama","29794","557","5367","528","2917","392","21170","678","18","19","0","29","101","57","0","29","42","62","179","99",
"0500000US01053","Escambia County, Alabama","12931","629","1361","286","427","130","10898","591","0","26","0","26","128","61","0","26","2","3","115","92",
"0500000US01055","Etowah County, Alabama","38765","578","14102","769","2307","298","21893","769","104","68","0","29","314","84","0","29","5","10","40","31",
"0500000US01057","Fayette County, Alabama","6805","271","1571","265","845","184","4129","352","31","32","10","12","155","73","0","19","0","19","64","44",
"0500000US01059","Franklin County, Alabama","11017","380","3779","345","843","227","6221","446","37","33","0","26","134","82","0","26","0","26","3","5",
"0500000US01061","Geneva County, Alabama","10572","378","560","170","479","136","9402","450","17","26","0","23","59","31","22","33","0","23","33","36",
"0500000US01063","Greene County, Alabama","3178","229","533","166","612","192","1959","242","0","17","0","17","60","55","0","17","0","17","14","16",
"0500000US01065","Hale County, Alabama","5490","292","767","143","666","177","3918","328","0","19","0","19","99","72","0","19","14","21","26","24",
"0500000US01067","Henry County, Alabama","6556","285","214","68","385","115","5849","277","0","19","0","19","63","46","0","19","0","19","45","38",
"0500000US01069","Houston County, Alabama","39784","366","2325","161","509","101","36561","398","24","16","1","3","89","28","2","2","3","3","270","59",
"0500000US01071","Jackson County, Alabama","20367","519","2253","324","2988","339","14393","639","33","27","0","29","602","159","0","29","14","18","84","46",
"0500000US01073","Jefferson County, Alabama","263801","1463","133124","2536","5016","809","123294","2514","244","108","80","75","552","222","10","15","216","113","1265","563",
"0500000US01075","Lamar County, Alabama","5631","266","1438","208","675","172","3284","290","29","42","0","19","156","89","0","19","35","37","14","17",
"0500000US01077","Lauderdale County, Alabama","38513","524","10341","718","2249","321","25107","821","68","57","0","29","386","131","0","29","20","25","342","181",
"0500000US01079","Lawrence County, Alabama","12551","349","2240","295","1339","223","8652","393","25","23","0","26","231","97","0","26","14","24","50","55",
"0500000US01081","Lee County, Alabama","60731","889","10383","799","2123","401","47597","1143","0","29","7","30","239","143","6","9","58","47","318","157",
"0500000US01083","Limestone County, Alabama","32725","538","4196","535","2447","447","25508","741","96","57","26","39","223","104","0","29","55","77","174","102",
"0500000US01085","Lowndes County, Alabama","4213","229","329","108","1188","170","2624","242","3","5","0","17","40","30","0","17","10","13","19","21",
"0500000US01087","Macon County, Alabama","7592","288","2588","237","1341","211","3504","304","16","24","0","19","36","23","0","19","79","81","28","19",
"0500000US01089","Madison County, Alabama","151628","957","32785","1424","4615","592","112305","1805","154","80","8","13","885","311","7","10","35","27","834","357",
"0500000US01091","Marengo County, Alabama","7499","305","1227","272","1093","197","4999","402","25","35","0","19","103","63","0","19","0","19","52","40",
"0500000US01093","Marion County, Alabama","11780","412","4562","454","758","156","6199","438","12","19","0","23","193","97","0","23","2","5","54","70",
"0500000US01095","Marshall County, Alabama","35115","536","8848","595","1595","273","23962","863","54","36","0","29","447","147","0","29","32","32","177","106",
"0500000US01097","Mobile County, Alabama","157557","1279","57223","1465","2059","372","96634","1429","85","64","55","89","614","216","0","29","108","60","779","206",
"0500000US01099","Monroe County, Alabama","8050","422","739","177","676","178","6395","403","17","26","0","23","197","85","0","23","7","12","19","24",
"0500000US01101","Montgomery County, Alabama","89511","971","41475","1323","1787","277","45647","1387","28","23","9","14","251","102","0","29","24","24","290","126",
"0500000US01103","Morgan County, Alabama","46388","695","9559","651","2321","329","33633","939","23","28","0","29","461","191","0","29","104","87","287","154",
"0500000US01105","Perry County, Alabama","3140","252","773","225","582","158","1688","290","9","13","0","17","88","89","0","17","0","17","0","17",
"0500000US01107","Pickens County, Alabama","7731","311","1449","233","1009","154","4800","336","111","85","0","23","303","109","0","23","34","31","25","22",
"0500000US01109","Pike County, Alabama","11700","560","1817","287","542","122","9096","574","1","2","0","26","104","65","0","26","19","17","121","76",
"0500000US01111","Randolph County, Alabama","8655","330","827","183","2024","301","5269","339","7","12","0","23","440","138","0","23","35","44","53","54",
"0500000US01113","Russell County, Alabama","23694","494","3371","488","1577","341","18486","767","28","48","0","29","100","65","0","29","5","6","127","101",
"0500000US01115","St. Clair County, Alabama","32765","584","7966","737","2444","414","21896","986","5","8","0","29","290","129","0","29","52","59","112","90",
"0500000US01117","Shelby County, Alabama","80756","685","32673","983","2573","365","44656","1164","73","50","0","29","231","94","0","29","16","19","534","173",
"0500000US01119","Sumter County, Alabama","5355","229","440","138","1034","205","3666","267","39","41","5","6","156","93","0","19","15","31","0","19",
"0500000US01121","Talladega County, Alabama","31741","558","7182","520","3341","450","20688","783","114","105","0","29","323","115","0","29","0","29","93","70",
"0500000US01123","Tallapoosa County, Alabama","16359","523","2208","343","2077","313","11751","602","16","24","0","26","224","118","0","26","45","44","38","34",
"0500000US01125","Tuscaloosa County, Alabama","74713","808","21172","916","1474","244","51365","1133","31","31","0","29","548","173","16","27","19","26","88","42",
"0500000US01127","Walker County, Alabama","25440","444","2905","332","1665","281","20275","581","71","48","0","29","341","139","21","36","34","56","128","87",
"0500000US01129","Washington County, Alabama","5830","318","345","103","1070","235","4046","308","0","19","0","19","369","138","0","19","0","19","0","19",
"0500000US01131","Wilcox County, Alabama","3961","214","188","63","801","140","2857","215","0","19","0","19","64","36","0","19","25","27","26","25",
"0500000US01133","Winston County, Alabama","9612","329","1176","188","1894","253","5880","382","34","39","0","23","543","184","0","23","0","23","85","83",
"0500000US02013","Aleutians East Borough, Alaska","988","143","2","4","0","10","76","46","895","124","0","10","15","8","0","10","0","10","0","10",
"0500000US02016","Aleutians West Census Area, Alaska","1306","199","16","9","17","10","52","22","1197","175","4","6","3","4","0","14","17","13","0","14",
"0500000US02020","Anchorage Municipality, Alaska","106970","777","85173","1143","1356","279","15677","992","2875","420","39","58","746","183","12","19","524","169","568","134",
"0500000US02050","Bethel Census Area, Alaska","4499","160","26","28","42","46","123","55","3938","158","2","3","357","53","0","16","0","16","11","16",
"0500000US02060","Bristol Bay Borough, Alaska","284","51","1","3","0","10","1","2","268","48","0","10","7","5","0","10","7","6","0","10",
"0500000US02063","Chugach Census Area, Alaska","2310","162","117","48","124","106","59","50","1761","199","35","49","206","103","0","14","8","14","0","14",
"0500000US02066","Copper River Census Area, Alaska","1063","125","9","12","7","8","13","16","650","113","10","9","368","90","0","10","2","4","4","5",
"0500000US02068","Denali Borough, Alaska","726","336","0","10","3","7","10","13","482","224","122","79","109","62","0","10","0","10","0","10",
"0500000US02070","Dillingham Census Area, Alaska","1430","89","9","10","9","10","41","19","1280","95","0","10","91","26","0","10","0","10","0","10",
"0500000US02090","Fairbanks North Star Borough, Alaska","36199","770","2260","377","667","176","3686","543","25653","952","422","154","1832","418","38","32","1053","235","588","196",
"0500000US02100","Haines Borough, Alaska","917","116","19","17","0","10","9","13","439","107","0","10","399","153","0","10","51","56","0","10",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","755","82","13","14","16","12","22","15","408","52","0","10","293","47","0","10","3","5","0","10",
"0500000US02110","Juneau City and Borough, Alaska","12878","274","613","181","532","145","4069","343","7029","412","0","21","369","151","0","21","207","88","59","47",
"0500000US02122","Kenai Peninsula Borough, Alaska","21781","390","11437","516","641","158","1768","287","5737","343","79","30","1938","201","6","7","118","46","57","42",
"0500000US02130","Ketchikan Gateway Borough, Alaska","5299","134","149","49","247","50","2019","136","2398","183","25","20","326","72","0","16","100","38","35","21",
"0500000US02150","Kodiak Island Borough, Alaska","4231","195","253","106","115","72","458","128","2903","234","34","28","373","122","0","16","36","32","59","44",
"0500000US02158","Kusilvak Census Area, Alaska","1750","89","0","14","0","14","23","18","1395","92","10","13","322","61","0","14","0","14","0","14",
"0500000US02164","Lake and Peninsula Borough, Alaska","366","144","2","3","0","10","13","11","329","130","1","2","16","14","0","10","3","4","2","3",
"0500000US02170","Matanuska-Susitna Borough, Alaska","31964","336","22694","371","530","91","2125","184","4228","261","65","30","2064","188","0","23","207","64","51","31",
"0500000US02180","Nome Census Area, Alaska","2777","132","0","16","4","5","60","24","2543","133","2","4","166","34","0","16","2","5","0","16",
"0500000US02185","North Slope Borough, Alaska","1991","226","1315","175","0","14","71","44","569","120","1","3","1","3","0","14","8","6","26","35",
"0500000US02188","Northwest Arctic Borough, Alaska","1795","76","3","4","0","14","22","14","1555","82","6","7","203","46","0","14","1","3","5","5",
"0500000US02195","Petersburg Borough, Alaska","1204","96","31","26","9","8","520","63","563","76","0","10","57","17","0","10","24","14","0","10",
