"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Utility gas","Margin of Error!!Total!!Utility gas","Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas","Estimate!!Total!!Electricity","Margin of Error!!Total!!Electricity","Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.","Estimate!!Total!!Coal or coke","Margin of Error!!Total!!Coal or coke","Estimate!!Total!!Wood","Margin of Error!!Total!!Wood","Estimate!!Total!!Solar energy","Margin of Error!!Total!!Solar energy","Estimate!!Total!!Other fuel","Margin of Error!!Total!!Other fuel","Estimate!!Total!!No fuel used","Margin of Error!!Total!!No fuel used",
"0500000US01001","Autauga County, Alabama","20396","413","6930","503","2569","405","10582","556","41","63","14","21","163","94","0","27","0","27","97","62",
"0500000US01003","Baldwin County, Alabama","74104","1265","7911","687","2215","376","63283","1383","13","19","15","23","386","152","5","9","42","38","234","93",
"0500000US01005","Barbour County, Alabama","9222","272","620","137","1166","192","7177","270","35","33","0","21","142","61","0","21","6","9","76","34",
"0500000US01007","Bibb County, Alabama","7027","354","1064","214","864","187","4774","359","84","65","0","21","196","87","0","21","0","21","45","32",
"0500000US01009","Blount County, Alabama","20816","427","2547","331","2573","293","15159","515","68","81","53","59","325","111","3","4","3","4","85","77",
"0500000US01011","Bullock County, Alabama","3683","253","487","145","837","190","2332","236","5","8","0","18","6","5","0","18","16","26","0","18",
"0500000US01013","Butler County, Alabama","8056","252","1397","166","1572","176","4866","251","21","24","0","21","183","80","0","21","0","21","17","18",
"0500000US01015","Calhoun County, Alabama","45154","645","15311","695","3032","323","25924","778","81","48","0","27","582","141","20","24","50","36","154","73",
"0500000US01017","Chambers County, Alabama","13787","410","2927","294","1942","276","8700","427","19","21","0","24","156","68","0","24","7","10","36","43",
"0500000US01019","Cherokee County, Alabama","11278","437","1333","222","2794","304","6614","431","88","64","0","21","395","122","0","21","36","41","18","19",
"0500000US01021","Chilton County, Alabama","16237","377","1711","249","2479","315","11683","407","0","24","0","24","271","100","0","24","25","23","68","42",
"0500000US01023","Choctaw County, Alabama","5575","208","225","75","1519","174","3521","237","16","15","0","18","270","81","0","18","23","15","1","3",
"0500000US01025","Clarke County, Alabama","9622","326","2412","273","1218","183","5683","365","6","9","0","21","242","86","0","21","8","13","53","43",
"0500000US01027","Clay County, Alabama","5419","225","1259","193","795","164","3028","285","0","18","0","18","317","100","0","18","0","18","20","22",
"0500000US01029","Cleburne County, Alabama","5776","193","406","94","2094","206","2900","260","2","4","0","18","332","93","14","19","1","3","27","26",
"0500000US01031","Coffee County, Alabama","19160","416","1352","253","1130","159","16420","464","31","19","0","27","122","38","0","27","7","7","98","55",
"0500000US01033","Colbert County, Alabama","22204","438","6603","423","1657","243","13505","498","81","47","0","27","311","98","0","27","12","17","35","33",
"0500000US01035","Conecuh County, Alabama","5168","218","794","176","769","168","3457","262","18","21","0","18","90","43","0","18","0","18","40","34",
"0500000US01037","Coosa County, Alabama","4450","233","492","127","1023","174","2783","258","32","28","0","18","109","64","0","18","11","19","0","18",
"0500000US01039","Covington County, Alabama","14949","348","2853","234","1578","181","10203","368","17","19","0","24","235","78","0","24","37","22","26","20",
"0500000US01041","Crenshaw County, Alabama","5383","180","843","122","1186","138","3163","217","2","6","0","18","147","71","6","10","16","18","20","14",
"0500000US01043","Cullman County, Alabama","31287","535","3806","381","4243","356","22502","634","120","82","0","27","477","121","0","27","0","27","139","69",
"0500000US01045","Dale County, Alabama","19018","389","1864","213","750","133","16082","427","23","20","0","24","183","81","0","24","16","23","100","54",
"0500000US01047","Dallas County, Alabama","16413","413","6586","426","1896","235","7425","455","65","48","0","24","255","128","0","24","131","88","55","35",
"0500000US01049","DeKalb County, Alabama","25013","559","2319","267","4393","361","17316","547","127","58","0","27","751","175","0","27","32","22","75","37",
"0500000US01051","Elmore County, Alabama","28651","568","4971","399","3307","380","20068","673","0","27","0","27","140","60","0","27","52","46","113","65",
"0500000US01053","Escambia County, Alabama","13659","330","1654","248","652","142","11046","445","20","32","0","24","209","90","0","24","0","24","78","51",
"0500000US01055","Etowah County, Alabama","39899","627","16607","664","2572","283","20090","693","18","21","0","27","477","106","0","27","17","23","118","55",
"0500000US01057","Fayette County, Alabama","7037","249","1489","203","908","154","4354","270","12","17","13","13","245","76","0","18","2","4","14","16",
"0500000US01059","Franklin County, Alabama","11980","293","4211","327","1084","160","6342","384","29","34","0","24","228","73","0","24","38","49","48","42",
"0500000US01061","Geneva County, Alabama","10754","293","519","101","686","109","9256","293","25","32","0","21","185","76","0","21","18","23","65","36",
"0500000US01063","Greene County, Alabama","3201","188","458","115","774","137","1831","168","0","16","0","16","83","58","0","16","36","42","19","23",
"0500000US01065","Hale County, Alabama","5927","220","1106","191","995","144","3529","222","95","69","0","18","175","59","0","18","0","18","27","23",
"0500000US01067","Henry County, Alabama","6894","215","412","123","418","96","5945","263","0","18","0","18","83","44","0","18","0","18","36","26",
"0500000US01069","Houston County, Alabama","39197","336","2100","115","655","80","36029","363","81","32","2","3","105","39","4","6","18","10","203","39",
"0500000US01071","Jackson County, Alabama","20431","498","2482","316","2932","308","14218","636","124","70","0","27","590","145","0","27","26","36","59","43",
"0500000US01073","Jefferson County, Alabama","260929","1677","140627","1675","4061","414","114310","1835","583","190","17","15","531","137","29","29","197","88","574","124",
"0500000US01075","Lamar County, Alabama","6138","232","1628","178","842","153","3306","273","25","40","0","18","301","88","0","18","15","16","21","19",
"0500000US01077","Lauderdale County, Alabama","38612","582","10552","619","2702","292","24606","845","37","35","0","27","509","136","0","27","13","16","193","80",
"0500000US01079","Lawrence County, Alabama","13537","269","2448","254","2098","289","8377","462","69","50","0","24","412","114","0","24","34","50","99","53",
"0500000US01081","Lee County, Alabama","57171","687","10051","638","2858","387","43676","858","69","57","0","27","202","108","14","23","16","21","285","106",
"0500000US01083","Limestone County, Alabama","32213","661","3782","389","2635","332","25070","797","78","61","0","27","445","158","0","27","36","43","167","104",
"0500000US01085","Lowndes County, Alabama","4282","164","279","72","1532","146","2132","159","80","55","0","18","185","80","0","18","67","41","7","11",
"0500000US01087","Macon County, Alabama","8009","240","2580","220","1718","159","3531","240","9","10","0","18","124","70","0","18","12","15","35","24",
"0500000US01089","Madison County, Alabama","137767","976","32094","1136","4943","496","99015","1498","342","141","23","25","886","205","0","27","43","38","421","119",
"0500000US01091","Marengo County, Alabama","8281","291","1503","224","1347","165","5129","330","66","59","24","37","182","82","0","21","6","7","24","17",
