"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Utility gas","Margin of Error!!Total!!Utility gas","Estimate!!Total!!Bottled, tank, or LP gas","Margin of Error!!Total!!Bottled, tank, or LP gas","Estimate!!Total!!Electricity","Margin of Error!!Total!!Electricity","Estimate!!Total!!Fuel oil, kerosene, etc.","Margin of Error!!Total!!Fuel oil, kerosene, etc.","Estimate!!Total!!Coal or coke","Margin of Error!!Total!!Coal or coke","Estimate!!Total!!Wood","Margin of Error!!Total!!Wood","Estimate!!Total!!Solar energy","Margin of Error!!Total!!Solar energy","Estimate!!Total!!Other fuel","Margin of Error!!Total!!Other fuel","Estimate!!Total!!No fuel used","Margin of Error!!Total!!No fuel used",
"0500000US01001","Autauga County, Alabama","20071","387","7215","439","2557","360","9960","481","32","42","0","27","199","119","0","27","0","27","108","62",
"0500000US01003","Baldwin County, Alabama","73283","1029","8680","680","2597","390","61312","1099","63","77","0","27","427","146","6","9","43","35","155","92",
"0500000US01005","Barbour County, Alabama","9200","329","711","134","1127","153","7151","316","34","31","0","21","98","51","0","21","5","8","74","58",
"0500000US01007","Bibb County, Alabama","7091","296","1322","245","552","167","4875","311","53","54","0","21","188","90","0","21","65","72","36","30",
"0500000US01009","Blount County, Alabama","21108","421","2686","289","2753","284","15055","600","50","46","0","27","433","137","1","3","29","31","101","74",
"0500000US01011","Bullock County, Alabama","3741","246","536","196","973","201","2178","291","0","18","0","18","45","68","0","18","9","16","0","18",
"0500000US01013","Butler County, Alabama","8235","223","1455","179","2019","180","4578","262","8","12","0","21","159","68","0","21","0","21","16","21",
"0500000US01015","Calhoun County, Alabama","45196","665","15311","640","3286","303","25537","768","75","42","0","27","760","155","0","27","65","44","162","101",
"0500000US01017","Chambers County, Alabama","13722","321","3138","269","2043","257","8207","418","33","28","0","24","252","105","0","24","7","11","42","37",
"0500000US01019","Cherokee County, Alabama","11656","449","1113","198","3094","319","6898","539","96","69","0","21","413","135","0","21","16","26","26","27",
"0500000US01021","Chilton County, Alabama","16232","377","1728","227","2911","345","11362","492","0","24","0","24","174","82","0","24","4","6","53","39",
"0500000US01023","Choctaw County, Alabama","5518","210","278","73","1719","206","3241","259","8","9","0","18","254","84","0","18","18","15","0","18",
"0500000US01025","Clarke County, Alabama","9631","320","2421","284","1516","271","5340","368","10","15","0","21","318","104","0","21","10","17","16","15",
"0500000US01027","Clay County, Alabama","5649","227","1283","199","946","200","3037","242","17","29","0","18","345","123","0","18","0","18","21","34",
"0500000US01029","Cleburne County, Alabama","5601","165","371","101","2147","195","2699","225","53","43","0","18","324","91","0","18","7","12","0","18",
"0500000US01031","Coffee County, Alabama","18820","386","1379","187","1185","150","16027","405","29","25","0","27","124","42","0","27","10","8","66","42",
"0500000US01033","Colbert County, Alabama","22260","430","7090","479","1820","253","12823","590","112","70","0","27","364","133","0","27","38","37","13","18",
"0500000US01035","Conecuh County, Alabama","4994","252","910","167","837","154","3059","264","11","14","0","18","149","70","0","18","0","18","28","31",
"0500000US01037","Coosa County, Alabama","4506","199","576","112","1188","160","2520","219","37","31","0","18","161","89","0","18","24","24","0","18",
"0500000US01039","Covington County, Alabama","15041","330","3033","260","1751","230","9902","389","27","20","0","24","261","81","0","24","19","20","48","40",
"0500000US01041","Crenshaw County, Alabama","5601","139","898","123","1378","170","3187","190","0","18","0","18","123","61","6","10","3","5","6","8",
"0500000US01043","Cullman County, Alabama","31342","544","3685","337","4335","405","22345","577","212","100","30","34","610","164","0","27","9","15","116","68",
"0500000US01045","Dale County, Alabama","19345","383","1945","235","800","156","16315","387","8","8","0","24","183","73","0","24","19","35","75","46",
"0500000US01047","Dallas County, Alabama","16173","418","6602","413","1989","274","7212","508","23","30","0","24","257","135","0","24","36","30","54","44",
"0500000US01049","DeKalb County, Alabama","24923","599","2260","321","5125","434","16775","676","126","60","0","27","548","155","0","27","26","18","63","43",
"0500000US01051","Elmore County, Alabama","28324","629","5138","397","3838","386","19046","633","8","13","0","27","197","82","0","27","67","53","30","24",
"0500000US01053","Escambia County, Alabama","13681","396","1924","205","856","179","10555","483","35","39","0","24","227","101","0","24","7","11","77","53",
"0500000US01055","Etowah County, Alabama","40217","529","16681","666","2651","294","20101","770","8","13","0","27","628","148","0","27","18","26","130","79",
"0500000US01057","Fayette County, Alabama","6956","272","1496","215","1116","180","4019","306","31","35","14","17","262","92","0","18","2","3","16","19",
"0500000US01059","Franklin County, Alabama","12437","309","4985","369","1269","203","5882","396","75","64","0","24","219","91","0","24","3","6","4","5",
"0500000US01061","Geneva County, Alabama","10945","254","754","140","1118","209","8818","318","9","15","0","21","165","89","0","21","18","25","63","39",
"0500000US01063","Greene County, Alabama","3264","214","444","105","947","177","1734","213","10","14","0","16","124","68","0","16","2","3","3","7",
"0500000US01065","Hale County, Alabama","5969","221","1196","166","1170","176","3378","276","55","42","0","18","158","64","0","18","0","18","12","13",
"0500000US01067","Henry County, Alabama","7001","272","494","126","448","101","5938","280","23","31","0","18","56","35","0","18","8","13","34","28",
"0500000US01069","Houston County, Alabama","39250","408","2086","115","807","101","35904","405","119","43","2","3","137","52","0","27","9","6","186","45",
"0500000US01071","Jackson County, Alabama","20765","379","2539","262","3045","301","14318","456","94","62","0","27","673","156","0","27","29","28","67","45",
"0500000US01073","Jefferson County, Alabama","259634","1755","146187","1799","4216","420","107281","2104","617","162","11","13","601","148","41","38","175","91","505","144",
"0500000US01075","Lamar County, Alabama","6084","227","1634","179","916","162","3202","272","14","23","0","18","280","116","0","18","16","17","22","23",
"0500000US01077","Lauderdale County, Alabama","38458","592","11698","593","2787","297","23416","758","66","41","0","27","341","95","0","27","27","26","123","67",
"0500000US01079","Lawrence County, Alabama","13382","267","2758","322","2322","304","7754","388","110","56","3","5","374","133","2","4","0","24","59","41",
